,paper,authors,title,abstract,cathegory
0,2501.00003,"['Raymond, Matt', 'Elvati, Paolo', 'Saldinger, Jacob C.', 'Lin, Jonathan', 'Shi, Xuetao', 'Violi, Angela']",Machine learning models for Si nanoparticle growth in nonthermal plasma,"Nanoparticles (NPs) formed in nonthermal plasmas (NTPs) can have unique properties and applications. However, modeling their growth in these environments presents significant challenges due to the non-equilibrium nature of NTPs, making them computationally expensive to describe. In this work, we address the challenges associated with accelerating the estimation of parameters needed for these models. Specifically, we explore how different machine learning models can be tailored to improve prediction outcomes. We apply these methods to reactive classical molecular dynamics data, which capture the processes associated with colliding silane fragments in NTPs. These reactions exemplify processes where qualitative trends are clear, but their quantification is challenging, hard to generalize, and requires time-consuming simulations. Our results demonstrate that good prediction performance can be achieved when appropriate loss functions are implemented and correct invariances are imposed. While the diversity of molecules used in the training set is critical for accurate prediction, our findings indicate that only a fraction (15-25\%) of the energy and temperature sampling is required to achieve high levels of accuracy. This suggests a substantial reduction in computational effort is possible for similar systems.",Computational Physics
1,2501.00011,"['Ruiz, Christian Guzman', 'Dawson, Matthew', 'Acosta, Mario C.', 'Jorba, Oriol', 'Galobardes, Eduardo Cesar', 'García-Pando, Carlos Pérez', 'Serradell, Kim']",Adapting Atmospheric Chemistry Components for Efficient GPU Accelerators,"Atmospheric models demand a lot of computational power and solving the chemical processes is one of its most computationally intensive components. This work shows how to improve the computational performance of the Multiscale Online Nonhydrostatic AtmospheRe CHemistry model (MONARCH), a chemical weather prediction system developed by the Barcelona Supercomputing Center. The model implements the new flexible external package Chemistry Across Multiple Phases (CAMP) for the solving of gas- and aerosol-phase chemical processes, that allows multiple chemical processes to be solved simultaneously as a single system. We introduce a novel strategy to simultaneously solve multiple instances of a chemical mechanism, represented in the model as grid-cells, obtaining a speedup up to 9x using thousands of cells. In addition, we present a GPU strategy for the most time-consuming function of CAMP. The GPU version achieves up to 1.2x speedup compared to CPU. Also, we optimize the memory access in the GPU to increase its speedup up to 1.7x.",Computational Physics
2,2501.00012,"['Price, Samuel', 'Cao, Zhaoxi', 'McCue, Ian']",On-the-Fly Path Planning for the Design of Compositional Gradients in High Dimensions,"Functional gradients have recently experienced an explosion in activity due to advances in manufacturing, where compositions can now be spatially varied on-the-fly during fabrication. In addition, modern computational thermodynamics has reached sufficient maturity -- with respect to property databases and the availability of commercial software -- that gradients can be designed with specific sets of properties. Despite these successes, there are practical limitations on the calculation speeds of these thermodynamic tools that make it intractable to model every element in an alloy. As a result, most path planning is carried out via surrogate models on simplified systems (e.g., approximating Inconel 718 as Ni$_{59}$Cr$_{23}$Fe$_{18}$ instead of Ni$_{53}$Cr$_{23}$Fe$_{18}$Nb$_{3}$Mo$_{2}$Ti$_{1}$). In this work, we demonstrate that this limitation can be overcome using a combination of on-the-fly sampling and a conjectured corollary of the lever rule for transformations of isothermal paths in arbitrary compositional dimensions. We quantitatively benchmark the effectiveness of this new method and find that it can be as much as 106 times more efficient than surrogate modeling.",Computational Physics
3,2501.00014,"['Roy, Nityananda', 'Dürr, Robert', 'Bück, Andreas', 'Sundar, S.']",Finite difference physics-informed neural networks enable improved solution accuracy of the Navier-Stokes equations,"Generating an accurate solution of the Navier--Stokes equations using physics--informed neural networks (PINNs) for higher Reynolds numbers in the corners of a lid--driven cavity problem is challenging. In this paper, we improve the solution accuracy of the incompressible Navier--Stokes equations in the region near the walls significantly and generate accurate secondary vortices in the corners of the lid--driven cavity by solving the governing equations using finite difference--based PINNs (FD--PINNs) without employing the known solution. We adopt the domain decomposition method (DDM) and combine it with the FD--PINNs to solve the lid--driven cavity problem for the Reynolds numbers Re = 400 and Re=1000. A comparison of the mean square error (MSE) between the presented and standard FD--PINNs using the reference solution is exhibited, showing the accuracy and effectiveness of the new approach.",Computational Physics
4,2501.00015,"['Alder, Nicolas', 'Kajale, Shivam Nitin', 'Tunsiricharoengul, Milin', 'Sarkar, Deblina', 'Herbrich, Ralf']",Energy-Efficient Sampling Using Stochastic Magnetic Tunnel Junctions,"(Pseudo)random sampling, a costly yet widely used method in (probabilistic) machine learning and Markov Chain Monte Carlo algorithms, remains unfeasible on a truly large scale due to unmet computational requirements. We introduce an energy-efficient algorithm for uniform Float16 sampling, utilizing a room-temperature stochastic magnetic tunnel junction device to generate truly random floating-point numbers. By avoiding expensive symbolic computation and mapping physical phenomena directly to the statistical properties of the floating-point format and uniform distribution, our approach achieves a higher level of energy efficiency than the state-of-the-art Mersenne-Twister algorithm by a minimum factor of 9721 and an improvement factor of 5649 compared to the more energy-efficient PCG algorithm. Building on this sampling technique and hardware framework, we decompose arbitrary distributions into many non-overlapping approximative uniform distributions along with convolution and prior-likelihood operations, which allows us to sample from any 1D distribution without closed-form solutions. We provide measurements of the potential accumulated approximation errors, demonstrating the effectiveness of our method.",Computational Physics
5,2501.00016,"['Kiyani, Elham', 'Manav, Manav', 'Kadivar, Nikhil', 'De Lorenzis, Laura', 'Karniadakis, George Em']",Predicting Crack Nucleation and Propagation in Brittle Materials Using Deep Operator Networks with Diverse Trunk Architectures,"Phase-field modeling reformulates fracture problems as energy minimization problems and enables a comprehensive characterization of the fracture process, including crack nucleation, propagation, merging, and branching, without relying on ad-hoc assumptions. However, the numerical solution of phase-field fracture problems is characterized by a high computational cost. To address this challenge, in this paper, we employ a deep neural operator (DeepONet) consisting of a branch network and a trunk network to solve brittle fracture problems. We explore three distinct approaches that vary in their trunk network configurations. In the first approach, we demonstrate the effectiveness of a two-step DeepONet, which results in a simplification of the learning task. In the second approach, we employ a physics-informed DeepONet, whereby the mathematical expression of the energy is integrated into the trunk network's loss to enforce physical consistency. The integration of physics also results in a substantially smaller data size needed for training. In the third approach, we replace the neural network in the trunk with a Kolmogorov-Arnold Network and train it without the physics loss. Using these methods, we model crack nucleation in a one-dimensional homogeneous bar under prescribed end displacements, as well as crack propagation and branching in single edge-notched specimens with varying notch lengths subjected to tensile and shear loading. We show that the networks predict the solution fields accurately, and the error in the predicted fields is localized near the crack.",Computational Physics
6,2501.00020,"['Li, Beibei', 'Chi, Yutian', 'Wang, Yuming']","Magnetic Field Data Calibration with Transformer Model Using Physical Constraints: A Scalable Method for Satellite Missions, Illustrated by Tianwen-1","This study introduces a novel approach that integrates the magnetic field data correction from the Tianwen-1 Mars mission with a neural network architecture constrained by physical principles derived from Maxwell's equation equations. By employing a Transformer based model capable of efficiently handling sequential data, the method corrects measurement anomalies caused by satellite dynamics, instrument interference, and environmental noise. As a result, it significantly improves both the accuracy and the physical consistency of the calibrated data. Compared to traditional methods that require long data segments and manual intervention often taking weeks or even months to complete this new approach can finish calibration in just minutes to hours, and predictions are made within seconds. This innovation not only accelerates the process of space weather modeling and planetary magnetospheric studies but also provides a robust framework for future planetary exploration and solar wind interaction research.",Space Physics
7,2501.00022,"['Sienicki, Krzysztof']",Algorithmic Idealism II: Reassessment of Competing Theories,"This paper explores the intersection of identity, individuality, and reality through competing frameworks, including classical metaphysics, quantum mechanics, and computational theories. Traditional metaphysical notions of fixed identity are challenged by advancements in cloning, teletransportation, and digital replication, which reveal the fluid and relational nature of individuality. Quantum mechanics further complicates these notions, emphasizing the indistinguishability and contextuality of fundamental particles. Computational approaches, such as the Ruliad and Constructor Theory, offer expansive views of emergent realities but often lack practical constraints for observer relevance. Algorithmic idealism is introduced as a unifying framework, proposing that reality is an emergent construct governed by computational rules prioritizing coherence, sufficiency, and observer-dependent experiences. By redefining identity as an informational construct and reality as a process shaped by algorithmic transitions, algorithmic idealism resolves foundational paradoxes and offers a superior lens for understanding existence in an increasingly digital and interconnected world. The framework bridges gaps between competing theories, providing a coherent and pragmatic model for addressing ethical, metaphysical, and technological challenges.",History and Philosophy of Physics
8,2501.00027,"['Bruggeman, Jeroen']",The distribution of violent event and interevent times in conflicts,"Enduring violent conflicts are interrupted by lulls without violence. Studies of interevent times found power law distributions based on coarse-grained data with a resolution of one day. Fine-grained data of violence with a resolution of seconds or shorter is rare. A mathematical theorem predicts that the distributions thereof is lognormal, not power law. However, when violent conflicts are represented as multiplicative processes and fine-grained data is used, the log normal does not fit better than the power law. Therefore, common wisdom is not refuted. Violent events, by contrast, take much energy and their durations are shorter, hence they are lognormally distributed.",Physics and Society
9,2501.00028,"['Modis, Theodore']",The Preponderance of Electric Vehicles and the Availability of Green Electricity,"The main advantage of electric vehicles, namely, their non-polluting operation, is compromised when the electricity they use comes from burning fossil fuels. The number of electric vehicles on the road is growing much faster than the amount of green electricity produced. It is forecasted that in 2037 the number of electric vehicles on the road will need an amount of electricity equal to the entire green electricity produced at that time. Therefore, green operation of electric vehicles entering the market after 2037 will be impossible. The sales of hydrogen-burning vehicles are poised to overtake the sales of electric vehicles in 2041, but a non-polluting overall operation for them is not guaranteed either at this time.",Physics and Society
