,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics
0,3,18,5,0,7,3,18,0,19,5,12,2,4,0,12,36,57,7,3,15,1,4
1,3,68,2,2,15,11,18,5,37,5,25,0,6,1,12,2,108,2,2,11,0,2
2,58,15,5,3,18,27,11,6,10,7,17,1,3,3,27,11,41,7,1,27,0,2
3,6,40,3,1,13,9,37,2,32,5,16,1,2,5,8,12,77,12,1,16,1,1
4,2,79,3,1,18,35,29,2,30,10,39,0,7,2,15,8,49,11,2,6,0,2
5,5,27,11,0,19,11,18,7,40,4,29,7,4,4,4,5,87,25,0,7,2,1
6,4,11,10,1,10,13,30,3,39,10,81,7,4,2,12,8,37,2,2,26,0,5
7,8,15,17,1,5,14,30,4,27,7,76,1,7,2,11,19,23,20,3,8,2,3
8,5,21,10,0,11,17,15,4,20,5,40,6,4,4,6,7,53,48,6,8,0,3
9,3,24,21,4,24,8,38,12,25,11,37,10,9,6,18,9,133,14,0,14,1,3
10,5,92,7,5,17,6,41,6,49,10,31,6,7,6,14,3,71,14,3,42,0,11
11,5,20,82,0,7,4,29,2,34,6,48,1,22,1,9,14,57,28,4,6,1,5
12,7,16,4,3,15,15,75,2,45,6,19,1,13,3,16,18,48,28,1,9,0,0
13,9,41,5,1,17,21,50,7,25,3,65,6,0,7,34,26,53,22,1,36,0,6
14,13,22,35,2,9,9,43,12,22,7,90,2,10,2,24,19,58,15,5,31,1,10
15,131,373,169,22,330,200,514,86,516,110,671,72,154,86,472,235,941,309,87,528,11,117
16,11,41,7,0,31,13,34,5,14,11,35,4,5,5,19,14,79,13,3,22,1,3
17,11,32,13,2,27,16,29,3,30,6,48,1,51,2,14,6,61,19,1,11,2,3
18,6,35,12,4,18,28,88,8,40,14,34,3,11,1,24,17,57,13,1,16,0,8
19,6,19,0,2,38,9,37,3,19,4,33,4,1,4,13,3,55,12,5,2,2,0
20,3,36,1,1,14,15,13,5,16,1,18,7,6,2,11,12,108,13,0,4,1,4
21,129,700,305,29,435,507,827,165,782,218,1055,110,270,168,682,446,1545,810,222,362,42,160
