,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics
0,5,28,22,1,20,11,35,8,50,6,85,6,8,11,21,11,46,19,3,19,2,10
1,19,73,16,3,43,28,141,5,75,6,59,4,13,7,84,22,57,22,7,39,1,9
2,10,12,23,0,5,6,34,5,43,11,61,4,14,4,12,8,48,19,2,9,1,8
3,12,51,1,2,32,13,22,9,36,3,62,4,9,2,18,9,92,5,4,24,2,4
4,4,30,15,3,15,17,45,6,65,11,36,7,74,0,12,25,70,5,3,7,2,6
5,1,26,8,0,13,22,21,9,12,5,18,6,4,5,6,3,24,9,3,8,1,11
6,9,36,29,4,12,47,31,7,34,4,40,0,10,1,21,11,70,26,3,12,0,0
7,3,18,5,1,20,14,37,5,21,2,18,7,2,4,15,2,84,3,0,17,0,1
8,6,95,4,3,6,10,51,2,23,4,19,2,5,2,28,5,117,7,3,8,1,3
9,1,4,6,2,11,8,17,0,8,4,26,0,2,1,3,17,32,1,1,2,0,1
10,43,104,66,1,81,123,155,56,170,77,154,33,52,134,85,83,210,833,212,54,30,25
11,2,35,4,0,18,4,10,6,11,3,14,0,7,1,8,4,33,9,1,5,1,1
12,83,54,14,6,79,12,46,13,38,19,37,13,10,9,424,22,89,14,8,47,4,12
13,4,39,10,4,24,11,35,16,73,17,59,24,8,9,15,10,83,10,3,111,1,53
14,5,18,14,0,9,3,15,2,24,4,76,7,16,13,23,8,38,15,2,18,0,4
15,12,34,7,0,9,13,24,7,28,2,61,4,6,4,15,13,57,2,0,24,0,2
16,11,33,217,3,24,27,72,13,80,28,142,1,91,10,26,28,105,47,7,26,5,18
17,6,23,7,0,53,1,12,1,11,0,7,3,5,3,15,1,86,5,3,12,0,6
18,6,18,0,1,10,8,48,2,28,2,30,0,4,1,16,11,73,4,2,4,0,0
19,1,17,6,0,6,3,18,0,10,4,25,0,8,2,3,5,30,5,0,6,0,2
20,9,92,3,0,20,9,15,1,30,6,30,1,6,3,32,9,146,2,1,9,1,0
21,5,23,6,2,10,18,47,3,79,8,19,1,9,5,11,9,57,6,2,11,0,4
22,19,35,13,0,9,7,26,4,26,8,75,4,4,1,11,6,36,7,0,203,0,4
23,3,11,9,4,37,8,127,2,50,6,16,1,4,1,9,4,43,7,1,9,0,1
24,4,20,12,1,22,3,24,4,16,7,29,1,7,1,18,8,42,9,6,9,0,16
25,12,16,12,0,18,7,13,2,23,2,55,2,10,1,20,9,42,12,3,15,2,3
26,11,31,9,1,54,17,48,10,45,7,33,4,6,6,15,10,98,17,2,6,0,3
27,2,30,31,8,24,15,70,22,48,15,79,7,20,9,47,18,75,15,9,43,1,55
28,3,21,15,1,29,12,21,16,25,7,74,19,11,8,16,4,57,9,2,26,0,8
29,2,39,10,0,9,12,20,12,41,3,171,5,14,1,8,12,61,17,3,15,0,4
30,5,45,4,2,22,11,61,9,47,10,36,5,8,6,12,10,94,15,2,13,0,4
31,2,6,15,0,0,1,8,1,23,4,16,0,11,0,21,6,18,4,3,10,1,2
32,20,25,2,0,4,10,16,1,21,18,31,3,3,4,33,4,73,8,4,15,0,3
33,8,42,4,3,24,16,43,5,31,5,29,3,9,3,37,3,118,9,4,17,0,5
34,8,44,4,0,31,19,15,5,23,12,46,4,10,9,40,9,117,18,3,26,3,1
35,7,47,8,1,13,15,21,4,21,11,9,3,3,2,19,7,148,8,7,13,0,5
36,5,15,7,0,10,5,15,1,52,4,79,0,5,0,7,9,43,4,4,42,0,5
37,8,37,8,0,26,227,49,9,51,14,152,10,14,7,14,22,135,54,4,24,2,6
38,7,39,1,2,5,13,10,3,21,3,35,1,1,0,14,9,56,4,1,11,1,1
39,0,19,5,0,12,16,18,6,26,4,21,5,1,1,17,1,61,8,0,20,0,7
40,6,24,6,2,50,7,74,6,47,11,21,4,12,2,11,5,89,8,1,27,0,5
41,1,15,3,2,15,19,28,6,11,7,25,3,6,1,14,24,38,8,0,13,1,11
42,1,38,5,1,10,7,30,4,20,11,14,8,5,4,15,12,96,8,1,15,1,3
43,2,36,4,5,39,9,87,7,36,6,18,3,5,5,45,5,65,9,4,16,0,1
44,5,39,7,9,49,24,37,7,31,6,31,11,2,5,13,18,150,17,2,21,1,1
45,2,27,14,2,15,15,65,16,43,12,130,3,30,0,13,14,66,25,3,52,2,8
46,2,98,5,2,22,15,57,1,27,7,24,3,2,3,22,6,80,13,3,11,0,3
47,4,15,4,1,5,6,39,3,54,13,38,3,11,2,8,5,42,16,3,5,0,2
48,20,39,15,1,14,34,41,2,29,14,61,2,10,1,38,130,126,28,1,31,1,5
49,7,29,12,0,10,33,30,5,34,12,93,8,13,2,27,244,82,19,7,27,0,1
