,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics,Number_of_papers
Accelerator Physics,8571,3216,579,115,3543,913,2962,1026,2915,892,3802,402,689,629,7127,1037,5933,810,171,8626,119,1581,486
Applied Physics,1653,21913,1911,640,7788,4549,10093,2457,13494,2409,11037,628,1858,1314,7520,2508,20548,2745,351,6656,284,2841,1929
Atmospheric and Oceanic Physics,342,2640,18608,74,1900,2019,3586,908,5558,1930,9503,339,3523,814,2217,1025,2624,3347,192,3299,203,3219,772
Atomic and Molecular Clusters,100,581,84,105,1234,182,1352,92,654,78,541,49,76,99,350,87,826,78,9,514,10,142,91
Atomic Physics,2562,10579,1506,1375,41947,3903,19014,2627,12943,2632,9299,1091,1585,2150,8366,1623,24124,2612,358,9955,318,3045,1355
Biological Physics,398,4630,1208,176,3213,14595,6397,1270,6719,2037,8267,380,1158,1048,2075,1893,5153,3560,262,3307,192,1352,1062
Chemical Physics,2188,16764,4015,1964,22178,9836,68194,4231,34543,4963,21581,1885,4059,3490,8597,3228,23114,5684,771,11858,554,3712,2216
Classical Physics,727,3442,950,107,3215,2431,3962,2567,5655,1095,8501,915,1103,1422,2104,831,5381,1576,287,4003,217,1427,394
Computational Physics,1443,11763,4001,683,8778,7082,21409,3876,42877,6320,30755,1104,4327,2241,5934,3523,13296,5609,689,10034,432,3205,2134
"Data Analysis, Statistics and Probability",364,1645,984,81,1382,1600,2218,567,4864,3015,3018,190,845,568,2111,671,2169,2292,213,1217,106,717,513
Fluid Dynamics,3954,24654,15077,743,17680,23377,32120,12961,54663,8861,245906,4170,12148,5757,15567,9393,28477,12809,1162,43282,1236,12450,2815
General Physics,746,2927,946,161,4330,1972,4814,2298,5430,1350,7054,2626,1185,2914,2841,808,6085,1958,497,4047,348,1555,284
Geophysics,706,4137,4681,141,2815,3002,5400,1793,8664,2377,12605,711,9158,1305,3507,2215,4610,3369,331,4472,306,2704,636
History and Philosophy of Physics,558,2132,958,108,2946,1917,3538,1538,3687,1369,4326,1054,934,4812,2576,779,4014,2585,683,2248,427,1253,329
Instrumentation and Detectors,6510,11111,2645,459,10114,3955,9592,2420,10096,4929,12217,1149,3279,2330,67813,4770,14908,3241,657,9724,543,5423,1572
Medical Physics,1138,3910,1298,106,2230,3593,4042,1183,5506,1827,7359,372,1553,784,5656,18338,5934,2041,383,2987,164,1290,967
Optics,5802,34776,3357,1243,30704,8142,24050,6011,25273,5148,20047,1904,3306,3533,16359,6019,170825,5212,930,15223,559,4116,4587
Physics and Society,703,4961,4056,162,3881,7270,6469,1991,9978,5650,9531,764,2362,2761,3238,1791,6301,37129,1668,3618,514,2090,1522
Physics Education,347,1292,598,88,1298,832,1816,653,2338,801,1793,344,522,1415,1226,541,2225,2365,9474,899,244,518,367
Plasma Physics,7573,11304,3825,596,12602,6476,14738,4526,17022,3187,34800,1896,3666,2317,9626,3024,16908,3878,475,72751,471,13329,1409
Popular Physics,95,475,228,15,619,383,796,239,792,253,880,171,235,523,492,125,966,489,230,496,91,346,72
Space Physics,646,2447,2298,78,2024,1359,2169,787,3407,1091,5502,291,1530,639,2635,643,2162,1111,184,11896,219,11218,365
