,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics,Number_of_papers
Accelerator Physics,2323,358,16,11,521,38,176,97,236,92,206,21,33,7,896,95,963,25,12,1735,6,114,486
Applied Physics,216,4541,100,159,1292,401,1142,306,1912,203,927,46,114,18,783,207,4564,188,40,655,11,207,1929
Atmospheric and Oceanic Physics,9,156,3839,4,105,66,188,25,450,123,786,7,376,5,74,41,145,242,5,180,6,159,772
Atomic and Molecular Clusters,10,100,7,40,283,15,194,9,124,5,74,2,6,3,50,19,168,4,1,68,0,15,91
Atomic Physics,385,1710,93,361,14396,337,2608,353,1794,221,912,89,95,108,1179,210,5455,141,45,1531,19,289,1355
Biological Physics,12,378,36,20,204,2846,394,56,529,121,575,8,52,13,63,175,474,194,18,131,2,40,1062
Chemical Physics,173,1805,247,330,3116,767,10146,370,3892,348,1558,108,231,79,601,175,3505,222,66,982,23,141,2216
Classical Physics,67,350,33,25,421,165,281,519,547,65,862,131,82,87,131,55,770,83,65,516,6,96,394
Computational Physics,110,1455,353,132,1091,530,2209,417,6234,576,3550,36,360,45,427,247,1794,340,69,1113,14,289,2134
"Data Analysis, Statistics and Probability",23,131,114,5,158,136,153,43,503,479,236,9,71,19,238,46,246,272,18,103,9,42,513
Fluid Dynamics,265,2050,1148,96,1920,2043,2112,1305,5605,530,43665,200,822,91,772,574,2580,457,82,5171,29,860,2815
General Physics,53,226,23,29,597,77,326,318,459,116,384,521,60,253,184,54,684,74,60,425,23,102,284
Geophysics,19,212,481,17,205,92,261,125,661,147,834,19,2297,12,174,144,251,101,14,261,9,147,636
History and Philosophy of Physics,14,48,10,11,203,38,105,110,158,45,149,106,27,341,86,21,203,63,23,73,14,26,329
Instrumentation and Detectors,744,1095,108,72,1349,145,621,176,847,593,555,57,220,54,12158,337,1634,51,42,926,20,325,1572
Medical Physics,114,252,54,8,198,258,217,58,333,187,384,12,106,11,369,2828,582,71,19,230,3,70,967
Optics,1043,7086,246,263,6951,816,3559,1061,3965,526,1903,164,220,142,2025,643,47185,365,122,2150,38,248,4587
Physics and Society,23,339,409,19,197,441,247,58,684,647,326,10,73,35,66,80,454,7170,134,124,13,71,1522
Physics Education,22,113,19,0,146,24,91,54,212,50,74,20,17,31,80,28,216,164,1602,88,14,35,367
Plasma Physics,1558,929,198,106,1830,307,1053,514,1763,193,3459,143,165,56,700,287,2455,124,29,17398,13,2415,1409
Popular Physics,5,16,7,0,58,12,32,13,69,6,70,15,15,17,47,7,72,20,19,41,17,37,72
Space Physics,38,114,148,4,110,26,56,55,294,71,477,9,87,10,120,23,105,13,8,2454,16,2706,365
