,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics
0,0,1,0,1,0,1,1,0,2,0,2,2,0,2,0,0,2,2,0,0,0,0
1,170,156,78,9,125,144,124,85,316,35,1452,20,64,3,323,35,152,12,5,742,2,90
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
3,37,310,331,11,62,323,476,32,697,196,439,12,241,6,180,503,695,512,24,80,7,40
4,7,105,14,6,146,9,61,14,42,2,17,5,3,8,40,20,99,25,5,8,0,3
5,0,11,1,0,0,9,9,2,5,1,7,0,4,1,2,22,12,20,11,3,0,0
6,47,829,4,39,696,86,699,68,351,12,64,64,5,46,119,23,2694,12,11,89,3,3
7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19,221,26,15,202,185,531,70,295,74,97,120,35,130,62,61,500,436,91,72,16,10
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,0,0
10,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,3,0,0,0,1,0
11,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,14,68,211,2,12,31,60,57,157,23,580,13,161,9,30,63,65,25,6,290,9,135
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
14,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,135,26,19,0,36,6,13,0,30,29,6,9,20,4,656,43,38,20,12,58,6,44
16,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
