,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics,Number_of_papers
Accelerator Physics,2675,808,183,44,1280,144,743,232,1028,408,1597,62,226,32,6546,230,2049,147,49,4192,28,637,486
Applied Physics,422,6944,337,143,2275,1042,3565,514,4059,419,3357,81,522,47,1520,440,8034,330,69,1942,12,322,1929
Atmospheric and Oceanic Physics,92,442,5629,20,270,359,915,285,1474,559,2986,46,1606,38,509,155,665,670,41,1938,37,2158,772
Atomic and Molecular Clusters,24,146,18,41,412,58,517,46,298,46,309,6,16,1,55,5,391,4,5,249,1,43,91
Atomic Physics,927,3189,287,552,13033,706,6638,767,4384,658,2570,289,273,181,2415,165,10979,227,142,4054,50,478,1355
Biological Physics,62,1104,371,35,555,3070,2511,377,2014,424,2743,58,320,64,264,358,1607,986,38,815,10,165,1062
Chemical Physics,467,5142,1037,638,6831,2946,21493,1448,12314,1261,7288,432,883,222,1273,432,9762,900,213,4260,61,611,2216
Classical Physics,150,767,283,49,813,538,1447,840,1916,324,3342,229,325,204,256,142,1961,388,89,1489,24,252,394
Computational Physics,538,3172,1128,241,2359,1649,7518,1121,12975,1509,10561,190,1001,93,1412,717,4815,883,184,3686,25,520,2134
"Data Analysis, Statistics and Probability",138,283,202,12,248,279,504,137,1001,564,616,35,141,55,704,93,497,322,36,477,18,229,513
Fluid Dynamics,1097,6578,5595,299,3601,6624,12069,4035,18439,2154,91446,658,4826,222,1835,1696,10763,2261,360,23039,71,3767,2815
General Physics,163,364,227,64,1327,231,1461,729,1339,317,1101,922,177,573,441,34,2019,251,181,1226,62,357,284
Geophysics,157,1099,2113,31,450,673,1799,418,2066,552,4382,80,2088,80,790,426,1267,682,65,2233,41,1491,636
History and Philosophy of Physics,25,61,92,9,220,194,222,210,227,112,156,197,60,741,106,5,218,360,108,130,61,62,329
Instrumentation and Detectors,5313,2586,529,73,2453,502,1536,305,1951,1503,1691,96,669,76,30305,723,3677,390,177,4391,109,2301,1572
Medical Physics,264,744,238,18,209,558,668,151,1113,316,1291,19,416,4,1123,2921,1104,261,50,712,8,160,967
Optics,1704,14663,823,477,15084,2780,10997,1922,10617,1266,8655,620,880,292,3481,941,64817,876,301,6851,70,847,4587
Physics and Society,114,844,1088,18,401,2157,1559,547,2546,1290,2211,143,638,342,412,222,1267,7741,318,827,44,306,1522
Physics Education,76,161,133,7,281,167,370,144,446,122,511,73,94,182,289,50,457,428,391,267,32,77,367
Plasma Physics,3667,3814,2664,230,5426,1522,6581,2015,7649,1502,21612,562,2367,153,5395,679,9525,813,215,36851,87,5804,1409
Popular Physics,11,36,59,4,99,49,109,36,96,52,114,16,68,35,83,12,108,59,17,166,13,116,72
Space Physics,304,373,1961,31,586,181,750,330,761,508,2393,122,1159,59,1301,69,771,168,35,5559,79,4146,365
