,Cathegory,Number_of_papers
0,Computational Physics,2134
1,Space Physics,365
2,History and Philosophy of Physics,329
3,Physics and Society,1522
4,Fluid Dynamics,2815
5,"Data Analysis, Statistics and Probability",513
6,Accelerator Physics,486
7,Atmospheric and Oceanic Physics,772
8,Medical Physics,967
9,Instrumentation and Detectors,1572
10,Geophysics,636
11,Optics,4587
12,Biological Physics,1062
13,Plasma Physics,1409
14,Classical Physics,394
15,Physics Education,367
16,Applied Physics,1929
17,Chemical Physics,2216
18,Atomic Physics,1355
19,General Physics,284
20,Popular Physics,72
21,Atomic and Molecular Clusters,91
