Cathegory,Max_connected_cathegory,Connections
Accelerator Physics,Instrumentation and Detectors,5313
Applied Physics,Optics,14663
Atmospheric and Oceanic Physics,Atmospheric and Oceanic Physics,5629
Atomic and Molecular Clusters,Chemical Physics,638
Atomic Physics,Optics,15084
Biological Physics,Fluid Dynamics,6624
Chemical Physics,Chemical Physics,21493
Classical Physics,Fluid Dynamics,4035
Computational Physics,Fluid Dynamics,18439
"Data Analysis, Statistics and Probability",Fluid Dynamics,2154
Fluid Dynamics,Fluid Dynamics,91446
General Physics,General Physics,922
Geophysics,Fluid Dynamics,4826
History and Philosophy of Physics,History and Philosophy of Physics,741
Instrumentation and Detectors,Instrumentation and Detectors,30305
Medical Physics,Medical Physics,2921
Optics,Optics,64817
Physics and Society,Physics and Society,7741
Physics Education,Physics Education,391
Plasma Physics,Plasma Physics,36851
Popular Physics,Instrumentation and Detectors,109
Space Physics,Plasma Physics,5804
