,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics
0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,2,42,0,0,1,0,0
1,1,4,0,0,13,0,6,1,9,4,1,1,0,8,1,0,42,6,4,2,1,0
2,1,4,0,1,2,7,45,0,10,0,1,0,1,0,6,4,27,0,0,0,0,0
3,0,50,1,0,1,7,3,6,3,0,5,0,0,0,7,1,70,5,0,0,0,1
4,0,5,3,0,0,7,5,0,13,7,5,0,4,3,4,278,33,1,3,2,0,3
5,3,14,3,1,6,7,10,3,11,6,3,5,3,6,6,1,16,263,24,2,3,0
6,1,13,0,0,1,0,51,2,38,9,1,20,0,11,1,73,11,3,2,0,3,2
7,2,16,62,0,1,22,5,4,10,23,15,2,22,1,7,9,7,352,7,2,1,2
8,0,9,0,0,0,38,6,2,18,15,2,0,3,3,0,1,2,274,3,1,1,0
9,0,2,0,1,1,3,4,11,7,0,14,1,1,0,0,3,4,0,0,0,0,0
10,0,12,0,0,2,73,12,1,15,7,24,0,0,1,4,2,13,22,2,0,0,2
11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,57,0,13
12,1,3,0,0,2,1,5,0,3,1,3,0,0,0,0,2,1,1,1,5,0,0
13,2,8,2,1,1,4,13,4,29,4,56,4,3,3,2,1,11,1,2,4,0,2
14,1,0,0,0,0,2,2,0,3,0,32,0,0,0,0,4,1,1,1,0,1,0
15,11,33,89,0,4,13,17,2,37,12,13,1,10,2,40,23,50,38,196,1,2,7
16,3,7,165,0,4,3,4,4,17,9,18,2,57,0,58,5,12,7,1,6,5,8
17,0,10,90,0,2,3,7,1,16,9,11,2,27,0,9,2,6,9,0,4,0,2
18,1,5,0,1,1,14,15,2,18,11,5,2,7,1,1,1,11,34,1,1,0,0
19,0,4,18,0,4,4,12,3,23,8,57,1,10,1,5,24,3,5,0,5,1,0
20,4,7,0,1,4,0,32,0,6,0,2,1,1,0,0,0,107,0,0,1,0,0
21,434,1634,312,83,1290,774,1862,331,1756,354,2501,219,445,216,1374,447,4004,344,88,1301,37,312
