,Accelerator Physics,Applied Physics,Atmospheric and Oceanic Physics,Atomic and Molecular Clusters,Atomic Physics,Biological Physics,Chemical Physics,Classical Physics,Computational Physics,"Data Analysis, Statistics and Probability",Fluid Dynamics,General Physics,Geophysics,History and Philosophy of Physics,Instrumentation and Detectors,Medical Physics,Optics,Physics and Society,Physics Education,Plasma Physics,Popular Physics,Space Physics
0,6,79,10,3,15,40,25,7,36,14,39,2,14,4,47,503,397,8,6,5,2,3
1,84,146,10,3,35,16,49,1,64,57,17,7,24,6,926,29,71,15,6,23,3,13
2,1,27,457,0,4,8,28,3,52,26,49,3,78,4,11,9,17,41,1,7,3,12
3,3,151,5,9,215,21,252,21,176,30,20,34,4,71,34,4,545,25,30,10,7,3
4,13,241,5,10,86,31,130,16,96,9,9,13,6,3,36,10,434,13,2,17,2,0
5,9,38,2,0,2,352,24,8,28,8,45,0,16,0,3,23,18,10,0,3,2,0
6,2,18,4,1,12,5,33,6,18,19,4,11,4,24,25,1,21,5,5,9,10,6
7,233,55,15,1,78,12,51,5,33,7,28,3,8,1,72,21,275,9,4,526,1,17
8,2,161,2,12,50,40,86,24,73,7,11,10,5,3,11,8,749,6,2,12,1,0
9,1,58,7,9,364,6,75,2,45,6,27,6,9,8,54,19,79,8,2,17,1,5
10,5,106,5,0,5,6,39,5,88,3,13,0,2,0,10,4,63,1,2,9,0,0
11,11,260,12,1,53,34,45,17,51,11,27,1,14,3,76,30,1234,7,2,20,1,2
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
13,6,117,26,5,18,80,432,21,443,73,101,1,266,5,37,60,69,27,6,23,3,6
14,34,135,33,26,322,129,675,166,506,81,571,140,53,99,90,65,228,68,25,188,6,18
15,18,92,39,7,42,50,79,35,133,18,1222,6,29,1,27,13,158,15,6,61,4,13
16,11,54,33,0,7,114,50,14,113,100,39,6,18,16,19,56,58,1080,225,7,5,8
17,25,88,76,2,28,15,15,26,65,7,311,17,39,8,43,26,43,22,10,447,3,246
18,1,15,4,0,3,24,29,2,22,3,240,1,5,0,4,2,14,3,1,11,1,2
